,rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,rowupdate
201,202,HATS-16,b,Transit,1,2.686502,1.1e-05,-1.1e-05,23h54m14.09s,358.55871,-30d00m46.8s,-30.012999,774.0,74.0,-74.0,13.834000000000001,V (Johnson),5738.0,79.0,-79.0,0.97,0.04,-0.04,1.24,0.1,-0.13,2016-06-23
202,203,HATS-17,b,Transit,1,16.254611,7.3e-05,-7.3e-05,12h48m45.55s,192.189799,-47d36m49.3s,-47.613693,339.0,22.0,-16.0,12.39,V (Johnson),5846.0,78.0,-78.0,1.13,0.03,-0.03,1.09,0.07,-0.05,2016-03-24
203,204,HATS-2,b,Transit,1,1.354133,1e-06,-1e-06,11h46m57.38s,176.739094,-22d33m46.8s,-22.562992,360.0,11.0,-11.0,13.562000000000001,V (Johnson),5227.0,95.0,-95.0,0.88,0.04,-0.04,0.9,0.02,-0.02,2014-05-14
204,205,HATS-25,b,Transit,1,4.2986432,4.5e-06,-4.5e-06,13h51m37.87s,207.907777,-23d46m52.2s,-23.781174,466.0,30.0,-30.0,13.097000000000001,V (Johnson),5715.0,73.0,-73.0,0.99,0.04,-0.04,1.11,0.07,-0.07,2016-06-09
205,206,HATS-26,b,Transit,1,3.3023881,7.6e-06,-7.6e-06,09h39m42.45s,144.926863,-28d35m08.1s,-28.585590000000003,907.0,69.0,-49.0,12.955,V (Johnson),6071.0,81.0,-81.0,1.3,0.11,-0.06,2.04,0.15,-0.11,2016-06-09
206,207,HATS-27,b,Transit,1,4.637038,1.4e-05,-1.4e-05,12h54m12.61s,193.55256,-46d35m15.8s,-46.587715,840.0,80.0,-51.0,12.765999999999998,V (Johnson),6438.0,64.0,-64.0,1.42,0.05,-0.05,1.74,0.17,-0.1,2016-06-09
207,208,HATS-28,b,Transit,1,3.1810781,3.9e-06,-3.9e-06,18h57m35.92s,284.39968500000003,-49d08m18.5s,-49.13847,521.0,25.0,-25.0,13.934000000000001,V (Johnson),5498.0,84.0,-84.0,0.93,0.04,-0.04,0.92,0.04,-0.04,2016-06-09
208,209,HATS-29,b,Transit,1,4.6058749,6.3e-06,-6.3e-06,19h00m23.14s,285.096424,-54d53m35.5s,-54.893192000000006,351.0,15.0,-15.0,12.612,V (Johnson),5670.0,110.0,-110.0,1.03,0.05,-0.05,1.07,0.04,-0.04,2016-06-09
209,210,HATS-3,b,Transit,1,3.547851,5e-06,-5e-06,20h49m49.79s,312.45743999999996,-24d25m43.7s,-24.428793,453.0,11.0,-11.0,12.44,V (Johnson),6351.0,76.0,-76.0,1.21,0.04,-0.04,1.4,0.03,-0.03,2014-05-14
210,211,HATS-30,b,Transit,1,3.1743516,2.6e-06,-2.6e-06,00h22m28.49s,5.618693,-59d56m33.2s,-59.942551,339.0,16.0,-16.0,12.192,V (Johnson),5943.0,70.0,-70.0,1.09,0.03,-0.03,1.06,0.04,-0.04,2016-06-09
