,row_id,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
3173,3174,OGLE 2015-BLG-0954L b,Microlensing,1,7.954582514045298e-05,745.3684218,-368.8421061,18h00m44.24s,270.184333,-28d39m39.2s,-28.660889,0.07023711307446694,400.0,-200.0,0.7643134715025905,V (Johnson),10295.83333,97.33333333,-72.87096774,0.07989690721649487,0.12,-0.12,2.722666667,0.130666667,-0.22235294100000003
3174,3175,OGLE 2015-BLG-0966L b,Microlensing,1,3.984970794857797e-05,559.0263166,-276.6315798,17h55m01.02s,268.75425,-29d02m49.6s,-29.047110999999997,0.2938509719552913,375.0,-208.33333330000002,0.7565090673575129,V (Johnson),8172.916667,98.66666667,-73.22580645,0.09278350515463919,0.04,-0.04,2.0413333330000003,0.110333333,-0.205294118
3175,3176,OGLE-TR-056 b,Transit,1,1.5359077040159574e-07,372.6842114,-184.4210535,17h56m35.51s,269.147958,-29d32m21.2s,-29.539222,0.23794750723508523,350.0,-216.66666669999998,0.7487046632124352,V (Johnson),6050.0,100.0,-73.58064516,0.31185567010309284,0.08,-0.046,1.36,0.09,-0.188235294
3176,3177,OGLE-TR-10 b,Transit,1,4.12407088686016e-07,186.3421062,-92.21052726,17h51m28.25s,267.867708,-29d52m34.9s,-29.876361,0.18204404251487916,325.0,-225.0,0.7295336787564767,V (Johnson),5950.0,130.0,-73.93548387,0.288659793814433,0.12,-0.052000000000000005,1.17,0.13,-0.17117647100000002
3177,3178,OGLE-TR-111 b,Transit,1,5.374986381855489e-07,1e-06,-1e-06,10h53m17.91s,163.324625,-61d24m20.3s,-61.405639,0.12614057779467305,300.0,-233.33333330000002,0.7616580310880828,V (Johnson),5040.0,80.0,-74.29032258,0.2139175257731959,0.06,-0.057999999999999996,0.83,0.04,-0.154117647
3178,3179,OGLE-TR-113 b,Transit,1,1.8380396255783228e-07,4e-06,-4e-06,10h52m24.40s,163.101667,-61d26m48.5s,-61.446806,0.07023711307446694,275.0,-241.66666669999998,0.7031088082901554,V (Johnson),4790.0,75.0,-74.64516129,0.19587628865979384,0.02,-0.064,0.77,0.02,-0.137058824
3179,3180,OGLE-TR-132 b,Transit,1,2.190632506671801e-07,7e-06,-7e-06,10h50m34.72s,162.644667,-61d57m25.9s,-61.957193999999994,0.2938509719552913,250.0,-250.0,0.7704663212435232,V (Johnson),6210.0,75.0,-75.0,0.3298969072164949,0.07,-0.07,1.32,0.17,-0.12
3180,3181,OGLE-TR-182 b,Transit,1,5.326566792212756e-07,1e-05,-1e-05,11h09m18.71s,167.32796299999998,-61d05m42.9s,-61.095257,0.22397164105503373,193.75,-193.75,0.749720207253886,V (Johnson),5924.0,64.0,-100.0,0.288659793814433,0.05,-0.055,1.14,0.23,-0.10400000000000001
3181,3182,OGLE-TR-211 b,Transit,1,4.91305993775965e-07,2.9999999999999997e-05,-2.9999999999999997e-05,10h40m14.39s,160.059951,-62d27m20.2s,-62.455601,0.1540923101547761,137.5,-137.5,0.7289740932642487,V (Johnson),6325.0,91.0,-125.0,0.3376288659793815,0.05,-0.04,1.64,0.21,-0.08800000000000001
3182,3183,OGLE2-TR-L9 b,Transit,1,3.280585259941057e-07,7e-07,-7e-07,11h07m55.18s,166.979921,-61d08m46.5s,-61.146263,0.08421297925451846,81.25,-81.25,0.7082279792746115,V (Johnson),6933.0,58.0,-150.0,0.38659793814432997,0.08,-0.025,1.53,0.04,-0.07200000000000001
3183,3184,Oph 11 b,Imaging,1,1.0,3650000.0,-3650000.0,16h22m25.21s,245.605058,-24d05m13.9s,-24.087208,0.014333648354260844,25.0,-25.0,0.687481865284974,V (Johnson),2375.0,175.0,-175.0,0.0,0.0,-0.01,1.63,0.04,-0.055999999999999994
3184,3185,PH1 b,Transit,1,1.893510896267582e-05,0.04,-0.027000000000000003,19h52m51.63s,298.215108,+39d57m18.4s,39.955104,0.11731371494411418,216.66666669999998,-216.66666669999998,0.6667357512953368,Kepler-band,6407.0,150.0,-150.0,0.3891752577319588,0.09,-0.09,1.73,0.04,-0.04
3185,3186,PH2 b,Transit,1,3.868969824923274e-05,0.001,-0.001,19h19m03.26s,289.76358999999997,+51d57m45.4s,51.962601,0.129082865411526,408.3333333,-408.3333333,0.6098445595854922,Kepler-band,5629.0,42.0,-45.0,0.23711340206185566,0.02,-0.02,1.0,0.05,-0.05
3186,3187,POTS-1 b,Transit,1,4.205374449514235e-07,1.57e-06,-1.57e-06,13h34m26.13s,203.608877,-66d34m52.0s,-66.58111600000001,0.1408520158789378,600.0,-600.0,0.8854922279792746,V (Johnson),4400.0,200.0,-200.0,0.17268041237113402,0.05,-0.05,0.59,0.02,-0.03
3187,3188,PSR B1257+12 b,Pulsar Timing,3,3.4481224688721088e-06,0.003,-0.003,13h00m03.58s,195.014903,+12d40m56.5s,12.682352999999999,0.07023711307446694,100.0,-100.0,0.8214162347150258,V (Johnson),4420.0,175.0,-175.71428569999998,0.21520618556701032,0.046666667,-0.044285714000000004,0.48,0.036666667,-0.027142857000000003
3188,3189,PSR B1257+12 c,Pulsar Timing,3,9.102903361053505e-06,0.0001,-0.0001,13h00m03.58s,195.014903,+12d40m56.5s,12.682352999999999,0.07023711307446694,100.0,-100.0,0.7573402419689118,V (Johnson),4440.0,150.0,-151.4285714,0.2577319587628866,0.043333332999999995,-0.038571429,0.37,0.053333333,-0.024285714
3189,3190,PSR B1257+12 d,Pulsar Timing,3,1.3441191086191858e-05,0.0002,-0.0002,13h00m03.58s,195.014903,+12d40m56.5s,12.682352999999999,0.07023711307446694,100.0,-100.0,0.6932642487046632,V (Johnson),4460.0,125.0,-127.1428571,0.30025773195876293,0.04,-0.032857143,0.26,0.07,-0.021428571
3190,3191,PSR B1620-26 b,Pulsar Timing,1,6.720595543780862e-06,0.0001,-0.0001,16h23m38.22s,245.909262,-26d31m53.7s,-26.531594000000002,0.10554456447670237,200.0,-200.0,0.6291882554404146,V (Johnson),4480.0,100.0,-102.8571429,0.34278350515463923,0.036666667,-0.027142857000000003,0.15,0.08666666699999999,-0.018571429
3191,3192,PSR J1719-1438 b,Pulsar Timing,1,0.0,0.0,0.0,17h19m10.07s,259.791971,-14d38m01.0s,-14.6336,0.1408520158789378,300.0,-300.0,0.5651122626943005,V (Johnson),4500.0,75.0,-78.57142857,0.3556701030927835,0.033333333,-0.021428571,0.04,0.10333333300000001,-0.015714286
3192,3193,Pr0201 b,Radial Velocity,1,5.939306525853763e-07,0.006999999999999999,-0.006999999999999999,08h41m43.82s,130.432596,+20d13m36.8s,20.226891000000002,0.11966754503759654,251.66666669999998,-251.66666669999998,0.5010362694300518,V (Johnson),6174.0,50.0,-54.28571429,0.31185567010309284,0.03,-0.015714286,1.17,0.12,-0.012857143
3193,3194,Pr0211 b,Radial Velocity,2,2.8156078569031976e-07,2.9999999999999997e-05,-2.9999999999999997e-05,08h42m11.49s,130.54788200000002,+19d16m37.4s,19.277044,0.09848307419625528,203.33333330000002,-203.33333330000002,0.5808290155440414,V (Johnson),5300.0,30.0,-30.0,0.23711340206185566,0.01,-0.01,0.83,0.01,-0.01
3194,3195,Pr0211 c,Radial Velocity,2,0.0006643711443798138,4560.0,-1750.0,08h42m11.49s,130.54788200000002,+19d16m37.4s,19.277044,0.07729860335491402,155.0,-155.0,0.5808290155440414,V (Johnson),5300.0,30.0,-30.0,0.23711340206185566,0.01,-0.01,0.83,0.01,-0.01
