row_id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
1469,Kepler-1482,b,Transit,1,1.67E-06,8.41E-05,-8.41E-05,19h01m15.31s,285.313805,+48d43m30.9s,48.725254,0.051641855,41.39,-28.42,0.668238342,Kepler-band,5381,59.2,-59.31,0.221649485,0.04,-0.05,0.84,0.08,-0.05
1470,Kepler-1483,b,Transit,1,1.29E-06,0.0001053,-0.0001053,19h41m38.35s,295.409776,+42d09m03.0s,42.150831,0.155798837,556.29,-254.14,0.704145078,Kepler-band,6337,208.71,-223.77,0.317010309,0.21,-0.14,1.4,0.6,-0.25
1471,Kepler-1484,b,Transit,1,4.16E-06,0.0003536,-0.0003536,19h30m44.23s,292.684285,+38d07m34.6s,38.126286,0.128494408,162.47,-108.15,0.747046632,Kepler-band,5730,204.01,-127.9,0.237113402,0.08,-0.07,0.92,0.13,-0.09
1472,Kepler-1485,b,Transit,1,2.72E-06,0.0001284,-0.0001284,19h52m22.90s,298.095423,+44d44m13.4s,44.737057,0.064352538,37.25,-34.12,0.640103627,Kepler-band,6087,92.28,-89.44,0.280927835,0.04,-0.04,1.12,0.07,-0.06
1473,Kepler-1486,b,Transit,1,7.47E-06,0.0009825,-0.0009825,19h22m21.69s,290.590382,+45d26m23.0s,45.439713,0.172040265,360.39,-170.85,0.750518135,Kepler-band,5965,147.55,-160.68,0.273195876,0.09,-0.07,1.12,0.27,-0.12
1474,Kepler-1487,b,Transit,1,9.90E-07,4.68E-05,-4.68E-05,19h41m59.55s,295.498108,+38d38m40.2s,38.644501,0.128376716,424.77,-224.22,0.654870466,Kepler-band,6541,230.55,-190.33,0.350515464,0.21,-0.16,1.63,0.65,-0.32
1475,Kepler-1488,b,Transit,1,5.44E-06,0.0002907,-0.0002907,19h06m35.14s,286.646417,+49d56m16.0s,49.937778,0.07235556,137.41,-120.56,0.634818653,Kepler-band,5820,71.05,-62.23,0.265463918,0.07,-0.05,1.31,0.29,-0.26
1476,Kepler-1489,b,Transit,1,1.13E-05,0.001799,-0.001799,18h45m11.00s,281.295831,+44d27m55.5s,44.465405,0.102013819,107.84,-72.75,0.724248705,Kepler-band,5655,76.91,-64.04,0.234536082,0.05,-0.06,0.9,0.11,-0.07
1477,Kepler-149,b,Transit,3,3.99E-06,4.10E-05,-4.10E-05,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,0.104897261,113.0225,-76.3875,0.681398964,Kepler-band,5381,100,-100,0.232603093,0.055,-0.06,0.95,0.14,-0.14
1478,Kepler-149,c,Transit,3,7.57E-06,0.001946,-0.001946,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,0.107780703,118.205,-80.025,0.681398964,Kepler-band,5381,100,-100,0.230670103,0.06,-0.06,0.95,0.14,-0.14
1479,Kepler-149,d,Transit,3,2.19E-05,0.001096,-0.001096,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,0.110664145,123.3875,-83.6625,0.681398964,Kepler-band,5381,100,-100,0.228737113,0.065,-0.06,0.95,0.14,-0.14
1480,Kepler-1490,b,Transit,1,1.27E-05,0.0009042,-0.0009042,19h42m46.46s,295.693573,+42d36m34.2s,42.609512,0.113547587,128.57,-87.3,0.75642487,Kepler-band,5515,193.53,-190.47,0.226804124,0.07,-0.06,0.87,0.11,-0.07
1481,Kepler-1491,b,Transit,1,2.26E-06,0.0002214,-0.0002214,19h34m31.14s,293.629756,+45d44m26.3s,45.740651,0.154033464,291.04,-115.14,0.763678756,Kepler-band,5728,84.52,-115.34,0.25257732,0.05,-0.05,0.99,0.22,-0.08
1482,Kepler-1492,b,Transit,1,2.28E-06,6.46E-05,-6.46E-05,19h14m23.30s,288.597097,+41d02m11.1s,41.03642,0.043285759,14.88,-16.37,0.709015544,Kepler-band,4712,54.27,-72.63,0.193298969,0.03,-0.04,0.72,0.02,-0.03
1483,Kepler-1493,b,Transit,1,2.05E-06,0.0001075,-0.0001075,19h14m11.80s,288.549148,+38d33m54.8s,38.565232,0.066941751,107.27,-89.91,0.635181347,Kepler-band,5863,78.69,-82.85,0.268041237,0.06,-0.05,1.29,0.24,-0.2
1484,Kepler-1494,b,Transit,1,1.25E-05,0.001769,-0.001769,18h50m37.78s,282.657401,+43d09m45.1s,43.162518,0.124257514,151.36,-89.41,0.744248705,Kepler-band,5659,86.94,-107.31,0.242268041,0.05,-0.06,0.94,0.13,-0.07
1485,Kepler-1495,b,Transit,1,1.17E-05,0.001954,-0.001954,19h04m31.38s,286.130757,+38d46m46.7s,38.779631,0.153445007,314.56,-136.64,0.754766839,Kepler-band,5831,90.97,-139.38,0.260309278,0.06,-0.06,1.04,0.25,-0.1
